id_production_companies,name_production_companies
4095,First Run Features
4399,Barunson Film Division
5201,Mark Williams Films
744,Diaphana Films
2448,Yari Film Group
313,Ts Productions
10473,National Film Board Of Canada
37411,As Is Productions
16311,Albert S. Ruddy Productions
16645,Santa Fe Institute For Regional Education
2906,Anarchist'S Convention Films
2780,Cube Vision
10991,Jon Shestack Productions
13969,Globo Filmes
1684,Chenault Productions
516,Seven Arts Productions
11745,Office National Du Film Du Canada (Onf)
12592,Inverness Productions
18758,Edison Manufacturing Company
4978,Gaumont British Picture Corporation
2221,Erfttal Film
3065,American Broadcasting Company (Abc)
65466,Troy Entertainment
13735,Quadrant Films
52595,Dévelopimage 2
9024,World International Network (Win)
1553,Selznick International Pictures
78596,Surefire Capital
396,Slm Production Group
4395,Monogram Pictures
763,Intermedia Films
441,Columbia Pictures Corporation
16612,Stopline Films
78597,Hope Productions
7832,Ciby 2000
11262,Imagine Films Entertainment
11175,Benderspink
91800,Bancannia Holdings Pty. Ltd.
37789,Avalon Films
10565,Good Machine
5385,Dong Woo Animation
66451,Lamy Films
16814,Süddeutscher Rundfunk (Sdr)
3447,Imax
17666,Per Holst Filmproduktion
60892,Pachyderm Production
2,Walt Disney Pictures
9248,Tigielle 33
40527,Asatsu-Dk
8263,Emi Films
7817,Defender Production
7437,Im Global
4308,Cmylmz Fikirsanat
45867,Star Film Company
6962,Cnc
4521,Cinema Art
1492,Atlantis Film
6452,Dentsu
415,Laurence Mark Productions
10345,Active Entertainment
33306,Nicolas Entertainment
68884,Blumhouse Television
19774,타임스토리그룹
71671,Contemporary Historians Inc.
328,Tla Releasing
16839,Anchor Bay Entertainment
22255,The Virginia Company Llc
7446,Svenska Filminstitutet (Sfi)
475,Jd Productions
1756,Broadway Video
3245,First National Pictures
3034,Tv Tokyo
47502,Warner Bross Turkey
659,London Film Productions
7850,Sciapode
8313,Playboy Productions
7295,Relativity Media
13549,Golan-Globus Productions
1188,William Dozier Productions
4533,Rajshri Productions Pvt Ltd
7449,Clear Blue Sky Productions
1786,Dark Castle Entertainment
6246,Medusa Film
1225,One Race Productions
1798,Oceania Produzioni Internazionali Cinematografiche
1616,Process Productions
6583,Reliance Big Pictures
12426,Oleandor Productions
11113,Iron Fists
3095,Whitewater Films
525,Ixtlan Productions
11216,Cine Tv Film Production
83,France 2 Cinéma
5542,Toei Animation
4080,Zed Filmworks
614,Vanguard Films
43,Fox Searchlight Pictures
4740,Gary Sanchez Productions
14729,Populist Pictures
707,Matador Pictures
21450,Ankor-Film
12838,Film Polski
7429,Hbo Films
737,Sidney Kimmel Entertainment
333,Original Film
15662,Studio Chizu
73899,Flashback Productions
18159,Dummett Films
86256,Reiner / Greisman Productions
258,Scott Rudin Productions
34143,Le Pachte
32201,Crossday Productions Ltd.
923,Legendary Pictures
10348,Republic Pictures (Ii)
3172,Blumhouse Productions
25052,Saga Pictures
41077,A24
3608,After Dark Films
2785,Warner Bros. Animation
3435,Calder Road Film
502,International Film Investors
21540,Mary Pickford Company
16278,Fusion Films
76,Zentropa Entertainments
6356,Brightlight Pictures Inc.
6734,Bay Films
10588,Colony Pictures
1088,Alcon Entertainment
4632,Freeride Entertainment
3797,Apple Corps
17557,Scanbox Entertainment
13718,Planet Film Productions
21858,Richmond Light Horse Productions
7036,Cj Entertainment
567,Office Kitano
4880,Chateau Productions
9335,Canal+ España
73635,Free - Cool - In
11524,Rotana Studios
10254,Millennium Films
7220,Capcom
181,Channel Four Films
15641,Associated Television International
25837,Ealing Metro International
5289,Wild Things Productions
3380,Spirit Dance Entertainment
16733,Wilding Picture Productions
2525,Avalanche Productions
3,Pixar Animation Studios
22609,Ega Medios Audiovisuales
6332,Dune Entertainment Iii
3823,Tf1 Films Production
34993,Happinet Corporation
11203,Centauro Films
60,United Artists
3047,Dead Gentlemen Productions
39024,Mm...Buttered Panini Productions
84189,Ein Shams Films
18405,Kinotar
9118,Samuel Goldwyn Films
8719,Isle Of Man Film Commission
30298,Cine Productions
89094,M.G. Films
33681,Black Label Media
5237,The Saul Zaentz Company
12300,Deutsche Fox Ag (Defa)
29493,Daniel L. Paulson Productions
94464,Film Finance Corporation (Ffc)
33131,Libra Productions Inc.
8073,Nick Wechsler Productions
2032,Orange Pictures
9032,Norma Talmadge Film Corporation
20241,Crystal Sky Pictures
3432,National Lampoon Productions
10583,Independent
12574,Sundance Channel
6705,Filmfour
497,Revolution Studios
17298,Centre National Du Cinéma Et De L'Image Animée (Cnc)
84353,Belfagor Cinematografica
18624,Hallam Productions
5388,Sony Pictures Home Entertainment
13839,Metafilms
7333,Bayerischer Rundfunk (Br)
15498,Clt-Ufa International
9068,Kadokawa Shoten Publishing Co.
12936,Greenstreet Films
7967,Media Factory
3321,Million Channel Ltd.
1302,Davis Entertainment
97,Castle Rock Entertainment
18367,Centre National De La Cinématographie (Cnc)
5338,Tiberius Film Productions
38656,Warner Bros Digital Distribution
7954,Filmwerks
2630,Majestic Films International
37985,Lerm-Film
2348,Nickelodeon Movies
86767,Alpha Pictures
11446,Lereby Productions
171,Malpaso Productions
3213,Disney Channel
839,Lou Yi Inc.
1036,Academy Pictures
89203,Cinema Revival
22221,"Toei Company, Ltd."
4252,Studio Babelsberg Studiobabelsberg Motion Pictures
2521,Golden Harvest Company
5552,Media Asia Films
17102,Peter Walker (Heritage) Ltd.
806,Téléfilm Canada
12797,Jinriki Hikoki Sha
24439,Tobina Film
3202,Walt Disney Studios Home Entertainment
50032,Skybound Entertainment
10217,Walt Disney Feature Animation
7460,Vendome Pictures
3173,Chiodo Brothers Productions
87594,Triana Films
18666,Cold Fusion Media Group
20151,The American Film Theatre
85229,Óscar Producciones Cinematográficas S.A.
5106,Copperheart Entertainment
18074,Agon Arts And Entertainment
2108,Battleplan Productions
2817,Globe Films
9349,Film4
6681,The Klock Worx Co.
54030,Academy Films
19378,Spondoolie Productions
22868,Cuatro Plus Films
13238,Unified Pictures
15866,Beijing Gallop Horse Film & Tv Production
3806,Shoah Foundation
4418,Commercial Pictures
2865,Insight Film Studios
21083,Soficinéma 2
2370,Merchant Ivory Productions
705,Spring Creek Productions
3923,Strand Releasing
3079,Fantefilm
4350,Atlantis Films
16940,Cc Medien Filmproduktion
69758,Lightstream Entertainment
6748,Goalpost Pictures
13022,Jeonju Film Festival
28201,Zik Zak Filmworks
27993,Picture Perfect Corporation
3221,Sveriges Television (Svt)
2670,Margo Films
65683,Kinowelt Median
360,Geffen Pictures
56472,World Cinema Fund
1314,Hammer Film Productions
4131,Ignite Entertainment
7956,Castelao Producciones
9181,Art Theatre Guild
13097,Making It Big
1215,Boogui Cinema
12372,Universum Film (Ufa)
4588,Egmond Film & Television
16368,Hawn / Sylbert Movie Company
6197,London Weekend Television (Lwt)
436,1492 Pictures
46052,Sw7D Productions
777,Future Film Group
69587,Kanal Russia 1
9993,Dc Entertainment
8,Fine Line Features
7320,Telefilm Canada
11180,Liaison Cinématographique
81646,Espn Films
8039,Lo Wei Motion Picture Company
18209,Alpha Core
6423,Troma
5214,Rainbow Productions
56477,Iz Films
5906,Shochiku
6896,Europacorp
37509,Luminair Film Productions
1766,Dieter Geissler Filmproduktion
8582,Canadian Film Or Video Production Tax Credit (Cptc)
67257,Hallow Films
30257,Hollywood Partners
5612,Brooksfilms
6999,Kodansha
12200,Province Of British Columbia Production Services Tax Credit
49325,Parkes+Macdonald Image Nation
14159,Seven Arts Pictures
1522,Neal Street Productions
14,Miramax Films
32877,Shoestring Pictures
19474,Epico Productions
2575,21 Laps Entertainment
850,Eurimages
7364,Heyday Films
40822,Fipex Holding
7966,Outland Productions
25350,Besiktas Kültür Merkezi (Bkm)
50478,Windowseat Films
7405,Dimension Films
13339,Platforma Filma
24048,Prototype
22657,Sédif Productions (As S.E.D.I.F.)
421,Amen Ra Films
87145,Nummela Filmi Oy
10466,Fretboard Pictures
6282,Shadow Theatre Films
73997,Jacmac Films
3358,Discovery Channel Productions
364,The Rank Organisation
11942,Sofica Valor 7
60294,Alta Vista
1465,Metheus Film
8922,Turner Entertainment
20008,Cmw Films
2374,Thats Hollywood
5056,Head Gear Films
104,Canal Plus
4056,Hallmark Entertainment
21751,Stargate Entertainment
12207,Tatiale Films
3384,Halt Productions
35018,Romanian National Center For Cinematography
89388,Freestone Pictures
4870,Consolidated Documentaries
69348,B And G Derivatives Holdings
771,Mandate Pictures
68455,Like Fire Productions
22199,Trees Pictures
584,Norma Productions
39644,Cinelou Films
23560,Kalkronkie
1644,Largo Entertainment
14941,Constellation Entertainment
21179,Kinoslovo
6638,Inca Films S.A.
7445,Cinematograph Ab
19233,120 Films
955,Nikkatsu
1370,Castel Film Romania
5555,Global Medien Kg
3480,Illusion Entertainment Group
746,Mtv Films
7503,Protozoa Pictures
1869,Amlf
3488,Portman Film
83243,Flat World Productions
500,Goldcrest Films International
22840,Chinavision Media Group
6916,Arte France Cinéma
10342,Studio Ghibli
81528,Cn4 Productions
959,Indieprod Company Productions
1422,Killer Films
52351,Rabbit Bandini Films
1286,World Wide Productions
52352,Great Point Media
19532,United Pictures Organization
21227,Billios
2982,Signature Pictures
48685,Closer Productions
822,Happinet Pictures
74308,Johnson And Gibson
72703,Media Europa
11792,Tre Vänner Produktion Ab
5069,Mainichi Shinbunsha
805,Serendipity Point Films
3407,Shanghai Film Group
74797,Toolbox Murders Inc.
8483,Plattform Produktion
2650,Ealing Studios
1538,Comedy Central
31107,K&Entertainment
11268,Benex Movie Expert Fund
75405,Dtvr Dogan Tv Radyo
26600,Atopic Films
3492,Island Pictures
93932,Fantosfreak
2651,Fragile Films
829,Vertigo Entertainment
19640,Maven Pictures
161,Claussen + Wöbke Filmproduktion Gmbh
6778,Televisió De Catalunya Tv3
28152,Principalities Of Darkness
38212,Fj Filmi
25381,Actoriedefilm
2268,Isle Of Man Film
47281,Stourwater Pictures
5360,Cr Enterprises
6363,Benderspink
11801,Trigger Street Productions
52831,Stockholm Syndrome Film
769,Destination Films
25033,The National Film And Video Foundation Of Sa
13151,Headline Pictures
6125,Walt Disney Animation Studios
11433,C.R.R.A.V. Nord Pas De Calais
4203,Elton Productions
7254,Greek Film Center
4022,Wonderland Sound And Vision
4641,Shochiku Company
28950,Dschoint Ventschr Filmproduktion Ag
3896,Sro Pictures
14645,Entertainment Farm (Ef)
7466,Radio Télévision Belge Francophone (Rtbf)
53041,Wta
79,Village Roadshow Pictures
11482,Cranium Films
11220,Buck Productions
7161,Liveplanet
14799,Filmes International
70305,Cinestampa Internazionale
23526,Streetlight Films
93171,Autorenfilm-Produktionsgemeinschaft
6417,Film I Väst
7480,Comedy Central Films
63568,Lookbook Films
9155,Tokyo Movie Shinsha (Tms)
10611,Ciné+
14145,Little More Co.
10163,Working Title Films
52594,Sofitvciné
5687,Beijing Ee-Media Co.
3063,Synthetic Worlds
446,Thinkfilm
4227,Bulbul Films
20154,Mad Hatter Entertainment
13001,Swr
13184,Annapurna Pictures
41527,9Ers Entertainment
856,Wild Bunch
91359,Bell & Howell
21437,Imperial Entertainment
85049,Spotfilms
10330,Universal International Pictures (Ui)
8769,Art Linson Productions
48688,Maloof Motion Pictures
1080,Beta Film
5283,Kobura Film
27318,Mulholland Pictures Bv
508,Regency Enterprises
11550,Corus Entertainment
28699,Cinemaundici
11567,Province Of British Columbia Film Incentive Bc
27127,M & R Films
1176,Lorimar Film Entertainment
2960,Brushwork Pictures
6832,Pathé Productions
10426,Panay Films
23912,Antidote Films (I)
2395,Hanway Films
3282,Larry Levinson Productions
48370,Small Package Films
1085,Filminterest
63053,Rockster Productions
5219,Sunswept Entertainment
1208,Rising Star
49389,Broad Green Pictures
50340,Taryn Prov
2527,Marc Platt Productions
11002,Stoned Gremlin
5391,Disneytoon Studios
11661,Rysher Entertainment
1236,Mandalay Entertainment
22123,Tf1
30667,Tipping Point Productions
3390,Vienna Film Financing Fund
49248,Media In Sy
11,Wingnut Films
13150,Naked Edge Films
17513,Film I Väst
9334,Götafilm Ab
75258,Orex Films
48577,Sparks
4100,Stick Figure Productions
6237,Porchlight Films
37618,Britt Allcroft Productions
42531,Market Road Films
68914,Société Suisse De Radiodiffusion Et Télévision (Ssr)
10230,Blue Wolf
5545,Mobra Films
38591,Friuli Venezia Giulia Film Commission
15886,Red Letter Media
36654,Tinsel Townsend
13219,"Mirisch Corporation, The"
49374,Palle Fogtdal A/S
29566,Atresmedia Cine
